,Date/Time,Location,Initiated By,Race,Gender,Reason for Stop,Disposition,Search
1,10/1/2019 1:35 PM,6200 S. Greenwood,citizen request for UCPD Response,African American,Male,Subject matched the description given by two (2) complainants of suspicious person pulling on car door handles and looking into vehicles,Name checked; released with no further action,Yes
2,10/14/2019 9:04 PM,6100 S. Dorchester,citizen request for UCPD Response,African American,Male,Citizen reported (via E-Bell) observing subjects attempting to damage the window of a parked vehicle.,Name checked & released w/no further action.,No
3,10/14/2019 9:04 PM,6100 S. Dorchester,citizen request for UCPD Response,African American,Male,Citizen reported (via E-Bell) observing subjects attempting to damage the window of a parked vehicle.,Name checked & released w/no further action.,No
4,10/14/2019 9:12 PM,1400 E. 63rd Street,citizen request for UCPD Response,African American,Male,Citizen reported (via E-Bell) observing subjects attempting to damage the window of a parked vehicle.,Name checked & released w/no further action.,No
0,10/14/2019 9:12 PM,1400 E. 63rd Street,citizen request for UCPD Response,African American,Male,Citizen reported (via E-Bell) observing subjects attempting to damage the window of a parked vehicle.,Name checked & released w/no further action.,No
1,10/18/2019 8:04 PM,5000 S. Blackstone,UCPD,African American,Male,"On-View suspicious activity; subject observed walking in the middle of the street, impeding vehicle traffic flow and appeared to be looking into the windows of parked vehicle",Name checked & released w/no further action.,No
2,10/25/2019 1:34 PM,1425 E. 54th Place,Citizen request for UCPD Response,African American,Male,subject matched description of theft offender,Arrested by CPD for theft,Yes
3,11/5/2019 7:07 AM,1155 E. 57th Street,Citizen request for UCPD Response,African American,Male,"subject observed carrying TV in alleyway, possible stolen item","Name checked clear, released on scene",No
4,11/10/2019 12:11 PM,5300 S. University,UCPD,African American,Male,Subject was observed looking into several apartment windows.,"Name checked clear, released, no further action.",No
0,11/25/2019 11:35 AM,5510 S. Woodlawn,Citizen request for UCPD Response,African American,Male,"Officers responded to a suspicious subject at said location. During preliminary investigation, a name checked revealed the subject had an active warrant out of Lansing PD.",Name checked; arrested by UCPD,Yes
1,Date Time,Location,Initiated By,Race,Gender,Reason for Stop,Disposition,Search
2,12/3/2019 10:25 AM,5807 S. Woodlawn,UCPD,African American,Female,Observed several times asking citizens for money throughout campus,"Name checked, Released; no further action",No
3,Date Time,Location,Initiated By,Race,Gender,Reason for Stop,Disposition,Search
4,12/4/2019 3:51 PM,924 E. 57th Street,Citizen request for UCPD Response,African American,Male,"call of suspicious person inside of building, casing the area.","Name checked, Released; no further action",No
0,12/5/2019 7:25 PM,5700 S. Kimbark,Citizen request for UCPD Response,African American,Male,Subject was pulling on door handles,"Name checked, released, contact card completed",Yes
1,12/7/2019 9:39 PM,5100 S. Drexel,Citizen request for UCPD Response,African American,Male,Matched the physical and clothing description of criminal damage suspects,Released no further action,No
2,12/7/2019 9:39 PM,5100 S. Drexel,Citizen request for UCPD Response,African American,Male,Matched the physical and clothing description of criminal damage suspects,Released no further action,No
3,12/7/2019 9:39 PM,5100 S. Drexel,Citizen request for UCPD Response,African American,Male,Matched the physical and clothing description of criminal damage suspects,Released no further action,No
4,12/14/2019 1:24 AM,1228 E. 53rd Street,Citizen request for UCPD Response,African American,Male,Unit was flagged down by store manager regarding a retail theft.,Name checked & released with no further action.,No
0,12/14/2019 5:16 PM,5400 S. Greenwood,Citizen request for UCPD Response,African American,Male,Subject fit the physical and clothing description of a suspicious person possibly attempting to steal packages from outside the residence,Name checked & released with no further action.,No
1,12/16/2019 11:55 PM,1311 E. 57th Street,Citizen request for UCPD Response,African American,Male,Complaint by bank security in regards to subject refusing to leave.,Name checked & released with no further action.,No
2,12/16/2019 1:19 PM,5100 S. Greenwood,UCPD,African American,Male,R/O observed subject pulling on car door handles. Subject attempted to flee upon approach,Name checked & released with no further action.,No
3,12/18/2019 3:27 PM,1311 E. 57th Street,Citizen request for UCPD Response,Caucasian,Male,Subject was reportedly causing a disturbance inside the bank and manager wanted officer to check on his well being,Name checked & released with no further action.,No
4,12/25/2019 7:53 AM,1159 E. 54th Street,Citizen request for UCPD Response,African American,Male,Call in by citizen who advised that subject was following him,"Name checked, Released to parent, no further actio",No
0,12/25/2019 8:07 AM,5333 S. Greenwood,Citizen request for UCPD Response,African American,Male,Call in by citizen who advised that subject was following him,"Name checked, Released to parent, no further actio",No
1,12/27/2019 3:26 PM,6000 S. Woodlawn,UCPD,African American,Male,Subject fit the physical description of recent robbery offender and was in the area where recent robberies have occurred,Name checked; released; no further action,No
2,12/29/2019 7:56 PM,6054 S. Drexel,UCPD,African American,Male,"ECC observed, (via surveillance camera), a group of male subjects entering the parking structure and suspected to be w/o authorization.",Name checked; trespass warning issued.,No
3,12/29/2019 7:56 PM,6054 S. Drexel,UCPD,African American,Male,"ECC observed, (via surveillance camera), a group of male subjects entering the parking structure and suspected to be w/o authorization.",Name checked; trespass warning issued.,No
4,12/29/2019 7:56 PM,6054 S. Drexel,UCPD,African American,Male,"ECC observed, (via surveillance camera), a group of male subjects entering the parking structure and suspected to be w/o authorization.",Name checked; trespass warning issued.,No
0,12/30/2019 8:52 AM,5758 S. Maryland,Citizen request for UCPD Response,Hispanic,Male,Call in by UCMC PSOof a banned subjectobserved inside the building.,Name checked & released with no further action.,No
1,1/8/2020 8:11 AM,6022 S. Drexel,UCPD,Hispanic,Female,Observed Panhandling in Drexel Garage,"Name checked, Released; no further action",Yes
2,1/14/2020 10:21 AM,5326 S. Greenwwod,UCPD,African American,Male,Observed Subject going through a package,Name checked; Released no further action,No
3,1/17/2020 1:56 PM,5100 S. Greenwood,Citizen request for UCPD Response,African American,Male,Citizen call in to report that listed subject walking door to door ringing bell,Name checked; Released no further action,No
4,1/27/2020 3:48 PM,928 E. Hyde Park Blvd.,UCPD,African American,Male,Matched description of offender involved in several packages thefts in the area,Name Checked; Released ; no further action,Yes
0,1/27/2020 8:41 PM,5751 S. Kenwood,UCPD,African American,Male,Subject matched the physical and clothing description of suspicious person call,Name Checked and transported home to parent,No
1,2/10/2020 4:01 PM,5327 S. Kimbark,Citizen request for UCPD Response,African American,Male,Suspicious subject observed in the alley-way with multiple bulges in front of his pants in crime hot spot area,"Name Checked clear, no further action , release",Yes
2,3/18/2020 8:15 PM,5630 S. Lake Park Ave.,UCPD,African American,Male,Subject matched the physical and clothing description of a criminal trespass subject from the Ihouse,Name checked and released,No
3,There were no field interviews to report 3/19/2020,,,,,,,
4,3/21/2020 9:45 AM,1050 E. 59th Street,UCPD,African American,Male,Officer observed a known banned subject inside campus building,Arrested,Yes
0,4/7/2020 2:50 PM,1554 E. 55th Street,Citizen request for UCPD Response,African American,Male,Units responded to area on report of retail theft from Walgreens. Subject matched description of subject observed on video taking items without paying.,Name checked; victims refused complaints; released,No
1,5/3/2020 2:36 PM,5840 S. Maryland,UCPD,African American,Male,Susipicious Subject roaming through the parking structure.,Trespass Warning Issued,Yes
2,5/18/2020 10:00 AM,900 E. 57th Street,citizen request for UCPD Response,Hispanic,Male,Subject involved in series of demonstrations and disturbances related to COVID-19 and Bill Gates.,"Name Checked, Trespass warning, released",Yes
3,5/18/2020 10:00 AM,900 E. 57th Street,citizen request for UCPD Response,African American,Male,Subject involved in series of demonstrations and disturbances related to COVID-19 and Bill Gates,"Name Checked, released",Yes
4,5/25/2020 6:04 PM,5300 S. Berkeley,Citizen request for UCPD Response,African American,Male,Matched the physical and clothing description of a theft offender,Name checked; Released; No further action,Yes
0,5/25/2020 6:04 PM,5300 S. Berkeley,Citizen request for UCPD Response,African American,Male,Matched the physical and clothing description of a theft offender,Name checked; Released; No further action,Yes
1,5/25/2020 6:04 PM,5300 S. Berkeley,Citizen request for UCPD Response,African American,Male,Matched the physical and clothing description of a theft offender,Name checked; Released; No further action,Yes
2,5/31/2020 12:55 AM,5203 S. Harper,Citizen request for UCPD Response,African American,Male,Match the description of an offender which was observed fleeing the area from a criminal damage to property incident,Name checked; Released; No further action,Yes
3,5/31/2020 5:01 PM,1521 E. 55th Street,Citizen request for UCPD Response,African American,Male,Subject was stopped in area reference looting and had thumbdrives in his possession. Subject stated he found them on ground. Items returned to store,Name checked; Released; No further action,No
4,5/31/2020 8:30 PM,5422 S. Lake Park,Citizen request for UCPD Response,African American,Female,"Subject was leaving business after reports of looting. No proceeds on person, no complaints to be signed",Name checked; Released; No further action,No
0,5/31/2020 8:30 PM,5422 S. Lake Park,Citizen request for UCPD Response,African American,Female,"Subject was leaving business after reports of looting. No proceeds on person, no complaints to be signed",Name checked; Released; No further action,No
1,6/26/2020 4:38 PM,5500 S. Woodlawn,Citizen request for UCPD Response,African American,Male,Subject matched physical and clothing description of someone with bolt cutters attempting to steal a bike from the Henry Crown Field House.,Name checked; released; no further action,Yes
